"objectid","line","long","lat","aline","num"
1734,"2-5",-73.868356000328,40.8491690010451,"No",2
1735,"2-5",-73.8682130002268,40.8491280013184,"No",2
1736,"2-5",-73.873499000508,40.8412230010525,"No",2
1737,"2-5",-73.8728919997833,40.8414530006745,"No",2
1738,"2-5",-73.8796230001387,40.8408150007587,"No",2
1739,"2-5",-73.8800050002781,40.8404340008759,"No",2
1740,"2-5",-73.8798330002186,40.8403540011198,"No",2
1741,"2-5",-73.8795549998336,40.8406390011644,"No",2
1742,"2-5",-73.8793970001324,40.8410780006642,"No",2
1743,"2-5",-73.8880479998591,40.8373250012973,"No",2
1744,"2-5",-73.8877549996707,40.8375990008029,"No",2
1745,"2-5",-73.8920200000541,40.829903001291,"No",2
1746,"2-5",-73.8920149995732,40.830369001187,"No",2
1747,"2-5",-73.8928969996593,40.824356000987,"No",2
1748,"2-5",-73.8931140001833,40.8241770008682,"No",2
1749,"2-5",-73.8927239996844,40.824358000467,"No",2
1750,"2-5",-73.8965080000529,40.8224000009955,"No",2
1751,"2-5",-73.8967189995454,40.8224470006856,"No",2
1752,"2-5",-73.8966810005905,40.8220950012682,"No",2
1753,"2-5",-73.9019579996093,40.8195830005511,"No",2
1754,"2-5",-73.9016659996989,40.8198870009736,"No",2
1755,"2-5",-73.9079419997115,40.81620100089,"No",2
1756,"2-5",-73.9078359999087,40.8163490011891,"No",2
1757,"2-5",-73.9078930000287,40.816589001345,"No",2
1758,"2-5",-73.907378999513,40.8168730008419,"No",2
1759,"2-5",-73.9177980005248,40.8162470009547,"No",2
1760,"2-5",-73.9175429995928,40.8163150009189,"No",2
1761,"2-5",-73.9179340002603,40.8162420010198,"No",2
1762,"2-5",-73.9174560000332,40.8162650006956,"No",2
1763,"3",-73.9369810001772,40.8240690008246,"No",1
1764,"3",-73.9365079998309,40.8203430006296,"No",1
1765,"3",-73.9362750005103,40.8206620008231,"No",1
1766,"2-3",-73.9411170002004,40.8140240006621,"No",2
1767,"2-3",-73.9409099999741,40.8143160007806,"No",2
1768,"2-3",-73.9457519999031,40.807681000846,"No",2
1769,"2-3",-73.945523999789,40.8079950006175,"No",2
1770,"2-3",-73.9499429996248,40.801945000596,"No",2
1771,"2-3",-73.9497339996279,40.8022290008806,"No",2
1772,"2-3",-73.9526720004523,40.7984970007149,"No",2
1773,"7",-73.8298849997496,40.7595420005225,"No",1
1774,"7",-73.829943000224,40.7597060008349,"No",1
1775,"7",-73.8299270003609,40.759451000625,"No",1
1776,"7",-73.8304080003336,40.7595870009125,"No",1
1777,"7",-73.830332999582,40.7594040012252,"No",1
1778,"7",-73.8457370000363,40.7547770008988,"No",1
1779,"7",-73.8458320000815,40.7543940011738,"No",1
1780,"7",-73.846014000518,40.7546570007807,"No",1
1781,"7",-73.8455980003549,40.7547680005103,"No",1
