"objectid","line","long","lat","aline","num"
1782,"7",-73.8560650005507,40.7516100005044,"No",1
1783,"7",-73.8559960002661,40.7514230005298,"No",1
1784,"7",-73.8556280002133,40.7515510008019,"No",1
1785,"7",-73.8623889994136,40.749787001209,"No",1
1786,"7",-73.8624250003995,40.7499730007298,"No",1
1787,"7",-73.8625370002854,40.7497750012744,"No",1
1788,"7",-73.8625460002482,40.7499640005378,"No",1
1789,"7",-73.8693760005383,40.7492630009866,"No",1
1790,"7",-73.8691200004944,40.7490950008461,"No",1
1791,"7",-73.8692199998578,40.7492660009565,"No",1
1792,"7",-73.8695740005061,40.7490280012045,"No",1
1793,"7",-73.869696000029,40.7492130007807,"No",1
1794,"7",-73.8764320005428,40.7483180008039,"No",1
1795,"7",-73.876460999767,40.7485900012529,"No",1
1796,"7",-73.8765909994451,40.7485820009282,"No",1
1797,"7",-73.8838760001747,40.7478120007132,"No",1
1798,"7",-73.8839730001898,40.7474530005641,"No",1
1799,"7",-73.8840280001036,40.7477970010259,"No",1
1800,"7",-73.8962679998094,40.7465090009822,"No",1
1801,"7",-73.8963959998291,40.746148001149,"No",1
1802,"7",-73.903248000206,40.7455310008345,"No",1
1803,"7",-73.9030630001761,40.7457170008055,"No",1
1804,"7",-73.9032339996867,40.7456920006394,"No",1
1805,"7",-73.9130029997995,40.7439330006989,"No",1
1806,"7",-73.913080000309,40.7440670011744,"No",1
1807,"7",-73.9112820002306,40.7444530004859,"No",1
1808,"7",-73.9112940000658,40.7445900011773,"No",1
1809,"7",-73.9186010004369,40.7430640009755,"No",1
1810,"7",-73.918563999867,40.7432170007153,"No",1
1811,"7",-73.9188480002025,40.7431050006761,"No",1
1812,"7",-73.9188130005512,40.7432400007651,"No",1
1813,"7",-73.9241610002705,40.7437100011261,"No",1
1814,"7",-73.9241120001405,40.7438820008264,"No",1
1815,"7",-73.9244170002466,40.7437430010001,"No",1
1816,"7",-73.9243850003879,40.7439110011121,"No",1
1817,"7",-73.9315700000916,40.7445680006194,"No",1
1818,"7",-73.9315330005272,40.7447240004613,"No",1
1819,"7",-73.9318290002507,40.7445940005605,"No",1
1820,"7",-73.9317939996055,40.7447630004857,"No",1
1821,"N-Q-7",-73.9396710002236,40.7508350011798,"No",3
1822,"N-Q-7",-73.940244999736,40.7503020008582,"No",3
1823,"E-G-M-7",-73.9457130001665,40.7463080011636,"No",4
1824,"E-G-M-7",-73.9453489995812,40.7461300005765,"No",4
1825,"E-G-M-7",-73.9453220003531,40.746232000756,"No",4
1826,"7",-73.9486089995217,40.7425000011899,"No",1
1827,"7",-73.9481099998087,40.7424050008781,"No",1
1828,"7",-73.9481950003783,40.7424220010952,"No",1
1829,"7",-73.9538929998818,40.7427590011401,"No",1
1830,"7",-73.953955000361,40.7428030013039,"No",1
1831,"B-D-F-M-7",-73.9811299999674,40.7534090011923,"No",5
1832,"R-1",-74.0131489994905,40.7020330008013,"No",2
1833,"R-1",-74.0131489994905,40.7020330008013,"No",2
1834,"R-1",-74.0133969995612,40.7019610005931,"No",2
1835,"R-1",-74.0133969995612,40.7019610005931,"No",2
1836,"N-Q-R-4-5-6",-73.9663399998183,40.7620920011829,"No",6
1837,"N-Q-R-4-5-6",-73.9661549995899,40.7623530005164,"No",6
1838,"N-Q-R-4-5-6",-73.9661050002499,40.7619960006421,"No",6
1839,"N-Q-R-4-5-6",-73.9659180000687,40.7622550007911,"No",6
1840,"N-Q-R",-73.9742280002038,40.764599000916,"No",3
1841,"N-Q-R",-73.9741909995507,40.7649350013183,"No",3
1842,"N-Q-R",-73.9739980005269,40.7648590013055,"No",3
1843,"N-Q-R",-73.9812779994209,40.7642580005167,"No",3
1844,"N-Q-R",-73.9808030005496,40.7640570009657,"No",3
1845,"N-Q-R",-73.981166999682,40.764377001153,"No",3
1846,"N-Q-R",-73.9806829994986,40.7641790010194,"No",3
1847,"N-Q-R",-73.9833880003102,40.7604540011049,"No",3
1848,"N-Q-R",-73.9844120001342,40.7590300005164,"No",3
1849,"N-Q-R",-73.9848840002975,40.7595130005236,"No",3
1850,"N-Q-R",-73.984709000136,40.7593840008346,"No",3
1851,"N-Q-R",-73.983566999586,40.7602970012826,"No",3
1852,"A-C-E-N-Q-R-S-1-2-3-7",-73.9866800002304,40.7541720005306,"Yes",11
1853,"A-C-E-N-Q-R-S-1-2-3-7",-73.9870969998054,40.754335000755,"Yes",11
1854,"A-C-E-N-Q-R-S-1-2-3-7",-73.9866229999187,40.7543010012334,"Yes",11
1855,"A-C-E-N-Q-R-S-1-2-3-7",-73.9871079995402,40.7545070012201,"Yes",11
1856,"B-D-F-M-N-Q-R",-73.9876200005048,40.7495900008369,"No",7
1857,"B-D-F-M-N-Q-R",-73.9874950003936,40.7498910012791,"No",7
1858,"B-D-F-M-N-Q-R",-73.9879760000962,40.7482940013366,"No",7
1859,"B-D-F-M-N-Q-R",-73.9882879999865,40.7484770010322,"No",7
1860,"N-R",-73.9889230005461,40.7452810010275,"No",2
1861,"N-R",-73.9890100002311,40.745488000702,"No",2
1862,"N-R",-73.9892170000714,40.7406430006782,"No",2
1863,"N-R",-73.9896390005202,40.7412080004831,"No",2
1864,"N-R",-73.9894280001733,40.7419130008876,"No",2
1865,"N-R",-73.9896320000055,40.7407580011328,"No",2
1866,"L-N-Q-R-4-5-6",-73.9906029999369,40.7363390009094,"No",7
1867,"L-N-Q-R-4-5-6",-73.9904469997247,40.7365230005194,"No",7
1868,"N-R",-73.9930510003954,40.729678000775,"No",2
1869,"N-R",-73.992736999626,40.7306420009398,"No",2
1870,"N-R",-73.99261999987,40.730592000875,"No",2
1871,"N-R",-73.9925170000092,40.7307160005406,"No",2
1872,"N-R",-73.9926409999076,40.7307730008085,"No",2
1873,"N-R",-73.9979569995641,40.7242600006527,"No",2
1874,"N-R",-73.9978749997036,40.7243440004675,"No",2
1875,"J-N-Q-R-Z-6",-74.0019299996069,40.7195850012956,"No",6
1876,"J-N-Q-R-Z-6",-74.0020190000111,40.7196600005262,"No",6
1877,"J-N-Q-R-Z-6",-74.0021580004744,40.7194080011497,"No",6
1878,"J-N-Q-R-Z-6",-74.0022360000956,40.7194600004995,"No",6
1,"B-Q",-73.9577690000581,40.6088350009905,"No",2
2,"B-Q",-73.9558279995548,40.5989910009336,"No",2
3,"B-Q",-73.9551200002249,40.5950200007597,"No",2
4,"B-Q",-73.954223999936,40.5873020008318,"No",2
5,"B-Q",-73.9602580002955,40.5779860009854,"No",2
6,"B-Q",-73.9605240005709,40.5779310013226,"No",2
7,"B-Q",-73.9602310001832,40.577746001029,"No",2
8,"B-Q",-73.960438000153,40.5776970011303,"No",2
9,"Q",-73.9678940005733,40.576423001071,"No",1
10,"Q",-73.9675909996016,40.5764450004513,"No",1
11,"Q",-73.9678750003777,40.5762090005574,"No",1
12,"Q",-73.9675610000337,40.5762340009317,"No",1
13,"F-Q",-73.9768729996697,40.5754990008484,"No",2
14,"F-Q",-73.9767470002231,40.5759290010131,"No",2
15,"D-F-N-Q",-73.980845999505,40.5769000013454,"No",4
16,"D",-73.9944889998726,40.6463370012182,"No",1
17,"D",-73.9944229998547,40.6401850007781,"No",1
18,"D",-73.9942200004318,40.6401800009807,"No",1
19,"D",-73.9944109994909,40.6413600011722,"No",1
20,"D",-73.9941880002461,40.6413790009615,"No",1
21,"D",-73.9949150004845,40.6361330009774,"No",1
22,"D",-73.9947020002238,40.6361390005234,"No",1
23,"D",-73.9948789997417,40.6364150004735,"No",1
24,"D",-73.9946730001887,40.6364050007582,"No",1
25,"D",-73.9952620001034,40.6313890008261,"No",1
26,"D",-73.9956429999148,40.63153800052,"No",1
27,"D",-73.9952830005438,40.6317090012422,"No",1
28,"D",-73.999195000033,40.6188340011943,"No",1
29,"D",-73.9992399999176,40.6191330013383,"No",1
30,"D",-73.998995000429,40.6187700005238,"No",1
31,"D",-73.9988320005871,40.6188890009745,"No",1
32,"D",-74.0008919994665,40.6128550005418,"No",1
33,"D",-74.0007209995992,40.6128470006115,"No",1
34,"D",-74.001491000569,40.6076020011218,"No",1
35,"D",-74.0018940004932,40.6077230009748,"No",1
36,"D",-74.0016280000552,40.6078970011275,"No",1
37,"D",-73.9981640003893,40.6044390008817,"No",1
38,"D",-73.9980069998917,40.604587000837,"No",1
39,"D",-73.9984979996878,40.6046310005965,"No",1
40,"D",-73.9983490005479,40.6047890005151,"No",1
41,"D",-73.9936960003892,40.6017260012202,"No",1
42,"D",-73.993538000421,40.6018980011739,"No",1
43,"D",-73.9941300001054,40.6019930010958,"No",1
44,"D",-73.9939480001563,40.6021500012845,"No",1
45,"D",-73.9869580004091,40.5978890010917,"No",1
46,"D",-73.9872790005634,40.5981000006681,"No",1
47,"D",-73.9871119998632,40.5977510007893,"No",1
48,"D",-73.9874420005108,40.5979520006202,"No",1
49,"D",-73.9837350000877,40.5880220010568,"No",1
50,"D",-73.9834979996632,40.5880660010534,"No",1
51,"D",-73.9837909997931,40.5883050011226,"No",1
52,"D",-73.9835430001353,40.5883480009784,"No",1
53,"N",-74.0107259996902,40.6345520006042,"No",1
54,"N",-74.0066579996033,40.632179000627,"No",1
55,"D-N",-73.9968299996843,40.6256060013196,"No",2
56,"N",-73.9894099998517,40.6200620009055,"No",1
57,"N",-73.9848400001122,40.6173410010739,"No",1
58,"N",-73.9820839998659,40.612989001119,"No",1
59,"N",-73.9805780001008,40.6051070007665,"No",1
60,"N",-73.9789429995289,40.5964590005918,"No",1
61,"N",-73.9782270003924,40.5927240011958,"No",1
62,"J-Z",-73.8293319999901,40.7002540013023,"No",2
63,"J-Z",-73.829231000204,40.7005200010354,"No",2
64,"J",-73.8370420003149,40.696771000937,"No",1
65,"J",-73.8371559999573,40.6970550007023,"No",1
66,"J-Z",-73.8432980003651,40.6950330004936,"No",2
67,"J-Z",-73.8432230004546,40.695267000495,"No",2
68,"J-Z",-73.8525559995751,40.6934510005082,"No",2
69,"J-Z",-73.8526080001453,40.693563001021,"No",2
70,"J",-73.8589749996498,40.6923810011914,"No",1
71,"J",-73.8590979999826,40.6926660006728,"No",1
72,"J-Z",-73.8664250000625,40.6912850009199,"No",2
73,"J-Z",-73.8666100003745,40.6914790007344,"No",2
74,"J",-73.8716300002606,40.6901420009897,"No",1
75,"J",-73.8734490001405,40.6894700006205,"No",1
76,"J",-73.8735549997661,40.6895960009214,"No",1
77,"J-Z",-73.8725480005001,40.6834780007663,"No",2
78,"J-Z",-73.8725999999177,40.6835880013142,"No",2
79,"J-Z",-73.8790070004208,40.6817570007493,"No",2
80,"J-Z",-73.8789840000952,40.6816430010781,"No",2
81,"J",-73.8857309997254,40.6796560013162,"No",1
82,"J",-73.8857160005658,40.6795300007475,"No",1
83,"J-Z",-73.8917110001345,40.6778470008133,"No",2
84,"J-Z",-73.8915659995882,40.6778640010583,"No",2
85,"J",-73.8998340003019,40.676755001151,"No",1
86,"J",-73.8995100002222,40.6768030006549,"No",1
87,"J-Z",-73.91133399968,40.6833130006107,"No",2
88,"J-Z",-73.9112420003159,40.6834170012361,"No",2
89,"J",-73.9158070005386,40.6858470008048,"No",1
90,"J",-73.915712999934,40.6859460011495,"No",1
91,"J-Z",-73.9231610000361,40.6900300009313,"No",2
92,"J-Z",-73.9230620005719,40.6901420009983,"No",2
93,"J",-73.9282569999367,40.6929300008525,"No",1
94,"J",-73.927939999869,40.692929001344,"No",1
95,"J-M-Z",-73.9354609997631,40.6968930012054,"No",3
96,"J-M-Z",-73.935559000134,40.6969870012035,"No",3
97,"J-M",-73.941994999535,40.7006290010874,"No",2
98,"J-M",-73.9416720003705,40.7007200012088,"No",2
99,"J-M",-73.9421730000514,40.700634001148,"No",2
100,"J-M",-73.9417099999789,40.7008470007834,"No",2
101,"J-M",-73.9483239994394,40.7042790009205,"No",2
102,"J-M",-73.9482229997096,40.704396001347,"No",2
103,"J-M",-73.9543699995655,40.707117000775,"No",2
104,"J-M",-73.9543259994887,40.7072480005252,"No",2
105,"J-M-Z",-73.9578929995316,40.7085650012525,"No",3
106,"J-M-Z",-73.9576890005383,40.7084090011354,"No",3
107,"J-M-Z",-73.9580479997386,40.7085290004772,"No",3
108,"F-J-M-Z",-73.9871809998949,40.7184100011562,"No",4
109,"F-J-M-Z",-73.9876500002773,40.7185510011336,"No",4
110,"J-Z",-73.993576000259,40.7199770012428,"No",2
111,"J-Z",-73.9934109994752,40.7202910005533,"No",2
112,"M",-73.8895400003393,40.7120820005086,"No",1
113,"M",-73.8962320002186,40.7059550007551,"No",1
114,"M",-73.89555899946,40.7061150011073,"No",1
115,"M",-73.9022430000838,40.7047290006551,"No",1
116,"M",-73.9023890004375,40.7044430012426,"No",1
117,"M",-73.9075149997435,40.7027800005958,"No",1
118,"M",-73.9078939998378,40.702835000714,"No",1
119,"M",-73.9186550001952,40.6987170006333,"No",1
120,"M",-73.9187709996046,40.6989130007839,"No",1
121,"M",-73.9263710000892,40.6980330006764,"No",1
122,"M",-73.9265249998294,40.6978760010599,"No",1
123,"A-C-E-L",-74.0023889997118,40.7395500010666,"Yes",4
124,"A-C-E-L",-74.0028039995313,40.7397340004696,"Yes",4
125,"L",-73.9866569997725,40.7329610005831,"No",1
126,"L",-73.9870409998133,40.7331340005307,"No",1
127,"L",-73.9821119995694,40.73139700109,"No",1
128,"L",-73.9821450002781,40.7314830011558,"No",1
129,"L",-73.95769499982,40.7177140006752,"No",1
130,"L",-73.9575680003226,40.717821001175,"No",1
131,"L",-73.9442869995189,40.7146610010664,"No",1
132,"L",-73.9445700005742,40.714613000884,"No",1
133,"L",-73.9404329995777,40.7119120013037,"No",1
134,"L",-73.9406679999818,40.7121820012715,"No",1
135,"L",-73.9400439994395,40.7077230006109,"No",1
136,"L",-73.9397489995123,40.7078190004857,"No",1
137,"L",-73.9316960005586,40.706317000763,"No",1
138,"L",-73.9319600004846,40.7062100007338,"No",1
139,"L",-73.9220359999738,40.7059430006417,"No",1
140,"L",-73.921909999604,40.7062280010371,"No",1
141,"L",-73.9223000005609,40.7060820011396,"No",1
142,"L",-73.9220620005478,40.7063200012753,"No",1
143,"L",-73.919273000307,40.7041530009486,"No",1
144,"L",-73.9190260001494,40.7043790009415,"No",1
145,"L",-73.9194519995151,40.7043260012338,"No",1
146,"L",-73.9191840002381,40.7044800008398,"No",1
147,"L",-73.9044300000085,40.6960940004573,"No",1
148,"L",-73.9046649995195,40.6960690008041,"No",1
149,"B-D-E",-73.9815780003661,40.7629370011041,"No",3
150,"B-D-E",-73.981689999867,40.7627930013057,"No",3
151,"E-J-Z",-73.799784000399,40.7023530007141,"No",3
152,"E-J-Z",-73.801740000078,40.7018550009464,"No",3
153,"E-J-Z",-73.799842999591,40.7028210005666,"No",3
154,"E-J-Z",-73.7999909995894,40.7023110013128,"No",3
155,"E-J-Z",-73.8017540004326,40.7018860009478,"No",3
156,"E-J-Z",-73.7997860004187,40.7026740005653,"No",3
157,"E-J-Z",-73.8000100004431,40.7023240008321,"No",3
158,"E-J-Z",-73.807976000105,40.7004010007589,"No",3
159,"E-J-Z",-73.8079229999402,40.7008100006071,"No",3
160,"E-J-Z",-73.8073529996705,40.700554000747,"No",3
161,"E-J-Z",-73.8076730001448,40.7008720004726,"No",3
162,"E",-73.8163720004557,40.7012630005995,"No",1
163,"E",-73.8172699998088,40.7027310011468,"No",1
164,"E",-73.8165769996494,40.7012410010285,"No",1
165,"G",-73.9451150003241,40.7462140011302,"No",1
166,"G",-73.9491169994972,40.7446250007991,"No",1
167,"G",-73.9486580004084,40.7447710006872,"No",1
168,"G",-73.9484250000672,40.7445520004906,"No",1
169,"G",-73.9543769998662,40.730070001347,"No",1
170,"G",-73.9540489999084,40.7301220004672,"No",1
171,"G",-73.9544880001772,40.7302780006233,"No",1
172,"G",-73.9509289995659,40.7236500011156,"No",1
173,"G",-73.9505660005446,40.7237650011791,"No",1
174,"G",-73.9509850000564,40.723780000895,"No",1
175,"G",-73.9506650004824,40.7238940010898,"No",1
176,"G-L",-73.9513500005264,40.71414000091,"No",2
177,"G-L",-73.9517369996724,40.713927001244,"No",2
178,"G",-73.9500620004596,40.7051140011964,"No",1
179,"G",-73.9505540000778,40.7054900006935,"No",1
180,"G",-73.9500889999115,40.7054950004604,"No",1
181,"G",-73.9503199997936,40.7052040010089,"No",1
182,"G",-73.95016400039,40.699582000525,"No",1
183,"G",-73.9494800002978,40.6954360011202,"No",1
184,"G",-73.9516160001041,40.6899950005537,"No",1
185,"G",-73.9516120002398,40.6897570012905,"No",1
186,"G",-73.9602150002176,40.6889420005461,"No",1
187,"G",-73.9598710001623,40.6887810007737,"No",1
188,"G",-73.9601899998946,40.6887530011425,"No",1
189,"G",-73.9675750005051,40.6881140011738,"No",1
190,"G",-73.9675750005051,40.6881140011738,"No",1
191,"G",-73.9679310003171,40.6878750010873,"No",1
192,"G",-73.9679310003171,40.6878750010873,"No",1
193,"G",-73.9657489997568,40.6884600005732,"No",1
194,"G",-73.9657489997568,40.6884600005732,"No",1
195,"G",-73.965578999989,40.6881570009035,"No",1
196,"G",-73.965578999989,40.6881570009035,"No",1
197,"G",-73.9762899995137,40.687159000676,"No",1
198,"G",-73.9768650004256,40.6871600011162,"No",1
199,"1",-73.8984320004533,40.8897830008909,"No",1
200,"1",-73.8979249995167,40.8896830013468,"No",1
201,"1",-73.8982569997845,40.890136001098,"No",1
202,"1",-73.8977979998604,40.8899460010268,"No",1
203,"1",-73.9009229996861,40.8848130006347,"No",1
204,"1",-73.9050240001679,40.8787750009525,"No",1
205,"1",-73.9047509996186,40.8791680008723,"No",1
206,"1",-73.9105289996505,40.8744370006604,"No",1
207,"1",-73.9154550000012,40.8694120008976,"No",1
208,"1",-73.915169999826,40.8697930011374,"No",1
209,"1",-73.9188640004496,40.8647450012052,"No",1
210,"1",-73.9192220003586,40.8642830012766,"No",1
211,"1",-73.9251100004924,40.8611830012098,"No",1
212,"1",-73.9250780001608,40.8611870011236,"No",1
213,"SIR",-74.1787020274733,40.5402383831286,"No",1
214,"SIR",-74.0747211793683,40.6363100547093,"No",1
215,"SIR",-74.1774613616439,40.5406403096804,"No",1
216,"SIR",-74.251142005302,40.5133949997685,"No",1
217,"SIR",-74.2008148816968,40.5253527728561,"No",1
218,"SIR",-74.151490395228,40.5510448287714,"No",1
219,"SIR",-74.2390068015093,40.5178323601619,"No",1
220,"SIR",-74.0875635870513,40.5960837127767,"No",1
221,"SIR",-74.0956626902482,40.588980831332,"No",1
222,"SIR",-74.0836100473049,40.6036463903815,"No",1
223,"SIR",-74.1090954742417,40.5794406004058,"No",1
224,"SIR",-74.2454326888754,40.5153883425919,"No",1
225,"SIR",-74.1362980235717,40.5568533304917,"No",1
226,"SIR",-74.21661689499,40.5227952188158,"No",1
227,"1",-73.9295359996623,40.8553740007862,"No",1
228,"1",-73.9326050003464,40.8564130010661,"No",1
229,"1",-73.9334280001234,40.849435001319,"No",1
230,"1",-73.9337469994527,40.8490980011234,"No",1
231,"1",-73.945183000389,40.8342680013048,"No",1
232,"1",-73.9450729996485,40.834221000799,"No",1
233,"1",-73.9505199995504,40.826657000864,"No",1
234,"1",-73.9542229998489,40.8215840007218,"No",1
235,"1",-73.9544080000252,40.8213480008451,"No",1
236,"1",-73.9584390005637,40.8151430007776,"No",1
237,"1",-73.9585540003851,40.815688000464,"No",1
238,"1",-73.9588260004082,40.8153070012764,"No",1
239,"1",-73.958366000247,40.8152300011783,"No",1
240,"1",-73.9639550004301,40.8082510009054,"No",1
241,"1",-73.9636029994104,40.8080990006024,"No",1
242,"1",-73.9638450000096,40.8084000006876,"No",1
243,"1",-73.9634949994311,40.808245001127,"No",1
244,"1",-73.9667860003796,40.8043900011927,"No",1
245,"1",-73.9686789999017,40.7992820004594,"No",1
246,"1",-73.9683139997894,40.7991420009288,"No",1
247,"1",-73.968611999938,40.7994100008196,"No",1
248,"1",-73.968270999765,40.7992230007229,"No",1
249,"1",-73.9769349995924,40.7883490010124,"No",1
250,"1",-73.9767179999452,40.7885150007288,"No",1
251,"1",-73.9800510001023,40.7840660012554,"No",1
252,"1",-73.9802739997079,40.7837650011059,"No",1
253,"1-2-3",-73.9818220002252,40.779146001189,"No",3
254,"1-2-3",-73.981877000221,40.7788750010365,"No",3
255,"1",-73.9824480005314,40.7737380009644,"No",1
256,"1",-73.9824330005515,40.7738290007936,"No",1
257,"1",-73.982424999498,40.7735760005974,"No",1
258,"1",-73.9834359996606,40.7611110008452,"No",1
259,"1",-73.9838529996425,40.7612820010185,"No",1
260,"1",-73.9833570004013,40.7612120008531,"No",1
261,"1",-73.9837819999669,40.7613670004713,"No",1
262,"A-C-E-N-Q-R-S-1-2-3-7",-73.9871330002365,40.7562410007711,"Yes",11
263,"A-C-E-N-Q-R-S-1-2-3-7",-73.987242000417,40.7560420012501,"Yes",11
264,"1-2-3",-73.9912709994982,40.7510460005201,"No",3
265,"1",-73.9956080000712,40.7439100008146,"No",1
266,"1",-73.9953479998761,40.7441200004841,"No",1
267,"1",-73.9976979995116,40.7409200011986,"No",1
268,"1",-73.9975799995167,40.74101500048,"No",1
269,"F-L-M-1-2-3",-73.9999140003478,40.738484000686,"No",6
270,"F-L-M-1-2-3",-73.9997110004527,40.7387750011289,"No",6
271,"F-L-M-1-2-3",-73.9994050004941,40.7385850009951,"No",6
272,"1",-74.0027480004899,40.7334020010347,"No",1
273,"1",-74.0051880005409,40.7284720009736,"No",1
274,"1",-74.0050860002093,40.7286560010588,"No",1
275,"1",-74.0060800004437,40.7225690007382,"No",1
276,"1",-74.0059939994229,40.7224970005147,"No",1
277,"1",-74.0066750003124,40.7190010009517,"No",1
278,"1-2-3",-74.0094530003824,40.7154440005533,"No",3
279,"B-Q",-73.9609690001587,40.6253070009541,"No",2
280,"B-Q",-73.9606539998178,40.6253630004823,"No",2
281,"B-Q",-73.959460000023,40.6181400006307,"No",2
282,"B-Q",-73.957807999496,40.6090620007815,"No",2
283,"B-Q",-73.9543710004116,40.5857340010434,"No",2
284,"B-Q",-73.9619939997117,40.5776180011225,"No",2
285,"B-Q",-73.9617919997197,40.5776560010812,"No",2
286,"B-Q",-73.9619120001213,40.5773870011973,"No",2
287,"B-Q",-73.9617190003475,40.5774250013102,"No",2
288,"Q",-73.9694449999278,40.5765070008173,"No",1
289,"Q",-73.9692429999999,40.5764870012012,"No",1
290,"F-Q",-73.9767400005497,40.5757520006336,"No",2
291,"F-Q",-73.9748620001146,40.576464000845,"No",2
292,"D-F-N-Q",-73.9810769996356,40.5762410008349,"No",4
293,"D-N",-73.99646500021,40.6272990013017,"No",2
294,"D-N",-73.9968700002194,40.6271100011449,"No",2
295,"D-N",-73.9967290005698,40.6273670010592,"No",2
296,"N",-74.0040670005872,40.6306090011105,"No",1
297,"D-N",-73.9959620003891,40.6242460007169,"No",2
298,"N",-73.991469000511,40.6213060006265,"No",1
299,"N",-73.9816130001937,40.6105720006932,"No",1
300,"N",-73.9801989998947,40.6032120011272,"No",1
301,"N",-73.9793350000225,40.5985120010402,"No",1
302,"J-Z",-73.8273899996738,40.7008080010266,"No",2
303,"J-Z",-73.8504759997624,40.6940770009091,"No",2
304,"J-M-Z",-73.9580440005733,40.7082930011469,"No",3
305,"J-M-Z",-73.9588260002845,40.7087880009482,"No",3
306,"J-M-Z",-73.9577489994716,40.7082710009184,"No",3
307,"J-M-Z",-73.9581240002547,40.708403000707,"No",3
308,"J-M-Z",-73.958926999641,40.7086810004717,"No",3
309,"J-N-Q-R-Z-6",-74.00032599953,40.7178230010411,"No",6
310,"J-Z-4-5-6",-74.0040990001131,40.7126990006607,"No",5
311,"J-Z-4-5-6",-74.003187000012,40.714199000869,"No",5
312,"A-C-J-Z-2-3-4-5",-74.008021999885,40.7102410013368,"Yes",8
313,"A-C-J-Z-2-3-4-5",-74.0076479996734,40.7101060005858,"Yes",8
314,"A-C-J-Z-2-3-4-5",-74.008374999592,40.7093760012155,"Yes",8
315,"A-C-J-Z-2-3-4-5",-74.007934999719,40.7103880004597,"Yes",8
316,"A-C-J-Z-2-3-4-5",-74.0075840005365,40.710211000789,"Yes",8
317,"A-C-J-Z-2-3-4-5",-74.0082950002531,40.7095070007392,"Yes",8
318,"J-Z",-74.0111279995989,40.7061420008087,"No",2
319,"J-Z",-74.0112290002855,40.7059610008182,"No",2
320,"J-Z",-74.0114970001731,40.7060010011934,"No",2
321,"J-Z",-74.0112629998065,40.7064390006391,"No",2
322,"J-Z",-74.0115539994331,40.7057470008398,"No",2
323,"F-L-M-1-2-3",-73.9967040002893,40.7371970013364,"No",6
324,"F-L-M-1-2-3",-73.9965780003214,40.7371490006061,"No",6
325,"L-N-Q-R-4-5-6",-73.9909909999751,40.7347550008555,"No",7
326,"L-N-Q-R-4-5-6",-73.9912350005178,40.7348590013332,"No",7
327,"L",-73.9865479994714,40.7331220005563,"No",1
328,"L",-73.9869309998181,40.7332770004936,"No",1
329,"L",-73.9826250005198,40.7310500012023,"No",1
330,"L",-73.9825629994418,40.7311180009248,"No",1
